NO_OF_FRAMES,6090
NO_OF_DATA_TYPES,1
FREQUENCY,100
TIME_STAMP,"2023-11-29, 20:12:52"
DATA_INCLUDED,Distance Traveled
DATA_TYPES,left_elbow_Ldist_traveled


0.000,
0.000,
0.000,
0.256,
0.256,
0.256,
0.489,
0.994,
1.553,
1.553,
1.553,
1.801,
1.801,
1.801,
2.082,
2.082,
2.302,
2.302,
2.302,
2.541,
2.541,
2.541,
2.815,
2.815,
2.815,
3.055,
3.055,
3.055,
3.329,
3.329,
3.329,
3.589,
3.589,
3.589,
3.815,
3.815,
3.815,
4.033,
4.033,
4.033,
4.261,
4.261,
4.261,
4.543,
4.543,
4.543,
4.811,
4.811,
4.811,
5.090,
5.090,
5.332,
5.332,
5.568,
5.568,
5.805,
5.805,
6.015,
6.015,
6.285,
6.285,
6.512,
6.512,
6.748,
6.748,
6.968,
6.968,
7.174,
7.174,
7.392,
7.392,
7.682,
7.682,
7.955,
7.955,
8.277,
8.277,
8.590,
8.590,
8.889,
8.889,
9.105,
9.105,
9.346,
9.346,
9.640,
9.640,
9.911,
9.911,
10.183,
10.183,
10.474,
10.474,
10.775,
10.775,
11.031,
11.031,
11.330,
11.330,
11.614,
11.614,
11.880,
11.880,
12.154,
12.154,
12.432,
12.432,
12.719,
12.719,
13.031,
13.031,
13.346,
13.346,
13.690,
13.690,
14.032,
14.032,
14.327,
14.327,
14.615,
14.615,
14.912,
14.912,
15.221,
15.221,
15.578,
15.785,
15.785,
16.195,
16.445,
16.654,
16.654,
17.043,
17.246,
17.478,
17.716,
17.990,
18.314,
18.637,
18.985,
19.324,
19.607,
19.922,
20.282,
20.639,
20.993,
21.347,
21.659,
21.999,
22.367,
22.764,
23.201,
23.646,
24.110,
24.553,
25.012,
25.454,
25.906,
26.309,
26.748,
27.126,
27.524,
27.898,
28.315,
28.796,
29.206,
29.654,
30.102,
30.592,
31.124,
31.636,
32.117,
32.592,
33.089,
33.641,
34.156,
34.673,
35.164,
35.714,
36.205,
36.850,
37.406,
38.053,
38.587,
39.144,
39.824,
40.471,
41.154,
41.802,
42.608,
43.349,
43.990,
44.752,
45.444,
46.088,
46.850,
47.651,
48.322,
48.972,
49.736,
50.455,
51.147,
51.853,
52.526,
53.093,
53.774,
54.401,
54.978,
55.539,
56.090,
56.623,
57.187,
57.777,
58.321,
58.881,
59.438,
60.082,
60.716,
61.348,
61.992,
62.704,
63.509,
64.245,
64.975,
65.760,
66.473,
67.196,
67.911,
68.649,
69.368,
69.969,
70.457,
71.288,
71.977,
72.611,
73.188,
73.887,
74.508,
74.991,
75.764,
76.357,
76.835,
77.403,
77.926,
78.458,
78.991,
79.443,
79.820,
80.196,
80.555,
80.846,
81.194,
81.519,
81.829,
82.078,
82.078,
82.443,
82.443,
