NO_OF_FRAMES,4817
NO_OF_DATA_TYPES,1
FREQUENCY,100
TIME_STAMP,"2023-11-29, 20:14:26"
DATA_INCLUDED,Angle
DATA_TYPES,_lam_final


157.640,
157.638,
157.816,
158.095,
158.286,
158.507,
158.782,
159.169,
159.284,
159.450,
159.646,
159.816,
159.951,
159.870,
160.052,
160.240,
160.429,
160.580,
160.723,
160.829,
160.895,
160.948,
161.029,
161.123,
161.223,
161.297,
161.357,
161.420,
161.660,
161.769,
161.865,
161.935,
161.971,
162.004,
162.038,
162.073,
162.077,
162.125,
162.196,
162.279,
162.328,
162.341,
162.248,
162.269,
162.298,
162.354,
162.354,
162.366,
162.396,
162.465,
162.472,
162.536,
162.633,
162.665,
162.691,
162.680,
162.701,
162.710,
162.716,
162.724,
162.719,
162.704,
162.690,
162.649,
162.632,
162.607,
162.601,
162.566,
162.543,
162.522,
162.523,
162.569,
162.647,
162.723,
162.808,
162.902,
162.974,
163.021,
163.044,
163.073,
163.111,
163.168,
163.332,
163.408,
163.533,
163.740,
163.960,
164.186,
164.438,
164.696,
164.977,
165.234,
165.439,
165.604,
165.919,
166.141,
166.380,
166.594,
166.804,
167.046,
167.333,
167.690,
168.073,
168.408,
168.707,
168.945,
169.140,
169.264,
169.334,
169.398,
169.291,
169.110,
168.732,
168.493,
168.232,
167.974,
167.906,
167.665,
167.351,
167.038,
166.715,
166.475,
166.139,
165.607,
165.218,
164.905,
164.549,
164.286,
163.717,
163.381,
163.021,
162.675,
162.230,
161.885,
161.360,
160.866,
160.306,
159.824,
159.242,
158.936,
158.366,
157.818,
157.269,
156.811,
156.224,
155.686,
155.029,
154.717,
154.500,
154.237,
153.813,
153.463,
153.165,
152.848,
152.567,
152.314,
152.166,
151.923,
151.539,
151.203,
150.804,
150.460,
149.966,
149.331,
148.679,
147.857,
147.042,
146.104,
144.920,
143.687,
142.510,
141.199,
139.719,
138.133,
136.411,
134.650,
132.729,
130.822,
128.960,
127.238,
125.639,
124.188,
122.971,
121.870,
120.900,
120.106,
119.403,
118.814,
118.351,
118.013,
117.789,
117.700,
117.680,
117.872,
118.152,
118.585,
118.878,
119.518,
120.320,
121.301,
122.357,
123.604,
124.947,
126.395,
127.883,
129.577,
131.355,
133.221,
135.198,
137.333,
139.393,
141.565,
143.525,
145.484,
147.390,
149.057,
150.594,
151.964,
153.142,
154.055,
154.782,
155.277,
155.555,
155.633,
155.570,
155.449,
155.450,
155.179,
154.775,
154.353,
153.853,
153.331,
152.726,
152.079,
151.421,
150.723,
149.999,
149.297,
148.572,
147.887,
147.128,
146.409,
145.647,
144.894,
144.230,
143.634,
143.078,
142.651,
142.311,
141.970,
141.717,
141.399,
141.055,
140.730,
140.519,
140.421,
140.361,
140.355,
140.353,
140.378,
140.465,
