NO_OF_FRAMES,7588
NO_OF_DATA_TYPES,1
FREQUENCY,100
TIME_STAMP,"2023-11-29, 20:20:46"
DATA_INCLUDED,Distance Traveled
DATA_TYPES,right_elbow_Rdist_traveled


0.000,
0.000,
0.000,
0.203,
0.203,
0.203,
1.546,
2.286,
3.229,
3.229,
3.229,
3.229,
3.229,
3.229,
3.229,
3.229,
3.229,
3.229,
3.229,
3.229,
3.229,
3.448,
3.448,
3.448,
3.448,
3.448,
3.448,
3.448,
3.675,
3.675,
3.675,
3.675,
3.675,
3.675,
3.675,
3.675,
3.675,
3.675,
3.675,
3.675,
3.891,
3.891,
3.891,
3.891,
3.891,
4.099,
4.099,
4.099,
4.099,
4.099,
4.099,
4.099,
4.099,
4.099,
4.099,
4.319,
4.319,
4.319,
4.319,
4.319,
4.543,
4.543,
4.543,
4.543,
4.775,
4.775,
4.775,
4.990,
4.990,
4.990,
4.990,
5.268,
5.268,
5.268,
5.525,
5.525,
5.525,
5.790,
5.790,
5.790,
5.790,
6.031,
6.031,
6.031,
6.297,
6.297,
6.514,
6.514,
6.725,
6.725,
6.942,
6.942,
7.257,
7.257,
7.524,
7.524,
7.524,
7.961,
7.961,
7.961,
7.961,
8.237,
8.493,
8.493,
8.493,
8.781,
8.781,
8.781,
9.025,
9.025,
9.271,
9.271,
9.529,
9.529,
9.793,
9.793,
10.005,
10.005,
10.296,
10.296,
10.559,
10.559,
10.559,
10.772,
10.772,
11.049,
11.049,
11.275,
11.275,
11.567,
11.567,
11.864,
11.864,
11.864,
12.088,
12.088,
12.088,
12.088,
12.088,
12.328,
12.328,
12.328,
12.328,
12.328,
12.328,
12.536,
12.536,
12.536,
12.800,
12.800,
13.144,
13.394,
13.663,
13.980,
14.229,
14.430,
14.430,
14.733,
14.733,
15.209,
15.552,
16.176,
16.549,
17.016,
17.619,
18.196,
18.735,
19.310,
19.893,
20.498,
21.137,
21.793,
22.500,
23.411,
24.223,
25.130,
26.117,
27.115,
27.954,
28.847,
29.622,
30.375,
31.457,
32.414,
33.808,
34.936,
36.040,
37.199,
38.311,
39.448,
40.574,
41.600,
42.809,
43.866,
44.960,
45.813,
46.819,
47.606,
48.595,
49.418,
50.358,
51.255,
52.280,
53.150,
54.081,
55.004,
55.932,
56.960,
58.134,
59.401,
61.120,
62.664,
64.542,
66.507,
68.534,
70.708,
72.866,
75.306,
77.862,
80.495,
83.213,
86.049,
88.901,
91.861,
94.927,
97.968,
101.111,
104.252,
107.427,
110.564,
113.595,
116.898,
119.859,
122.743,
125.775,
128.594,
131.210,
133.766,
136.246,
138.656,
140.809,
142.860,
144.995,
146.918,
148.837,
150.628,
152.481,
154.212,
155.924,
157.460,
158.988,
160.544,
161.888,
163.374,
164.610,
165.684,
166.893,
167.753,
