NO_OF_FRAMES,7588
NO_OF_DATA_TYPES,1
FREQUENCY,100
TIME_STAMP,"2023-11-29, 20:19:43"
DATA_INCLUDED,Angle
DATA_TYPES,_ram_final


157.836,
157.827,
158.176,
157.926,
157.919,
157.917,
158.086,
157.807,
157.915,
157.920,
157.918,
157.908,
157.909,
157.909,
157.903,
157.898,
157.910,
157.914,
157.913,
157.914,
157.916,
157.909,
157.895,
157.899,
157.887,
157.892,
157.896,
157.909,
157.929,
157.927,
157.922,
157.920,
157.907,
157.913,
157.911,
157.916,
157.926,
157.934,
157.930,
157.932,
157.940,
157.939,
157.938,
157.950,
157.950,
157.954,
157.960,
157.959,
157.976,
157.983,
157.978,
157.969,
157.967,
157.973,
157.976,
157.987,
157.992,
157.998,
158.016,
158.022,
158.026,
158.033,
158.043,
158.045,
158.045,
158.047,
158.050,
158.065,
158.074,
158.077,
158.083,
158.072,
158.079,
158.077,
158.064,
158.049,
158.050,
158.052,
158.053,
158.053,
158.059,
158.051,
158.056,
158.057,
158.060,
158.046,
158.050,
158.046,
158.038,
158.039,
158.028,
158.021,
158.000,
158.005,
157.997,
158.008,
158.013,
158.010,
158.036,
158.035,
158.051,
158.048,
158.035,
158.027,
158.026,
158.011,
158.012,
158.018,
158.019,
158.026,
158.022,
158.009,
158.010,
158.004,
158.011,
158.026,
158.036,
158.041,
158.034,
158.041,
158.041,
158.056,
158.089,
158.112,
158.110,
158.109,
158.115,
158.116,
158.101,
158.087,
158.071,
158.066,
158.064,
158.069,
158.084,
158.107,
158.122,
158.140,
158.155,
158.148,
158.155,
158.165,
158.111,
158.115,
158.145,
158.094,
158.047,
157.979,
157.905,
157.813,
157.729,
157.619,
157.533,
157.453,
157.335,
157.198,
157.082,
156.956,
156.813,
156.635,
156.386,
156.007,
155.691,
155.420,
155.138,
154.804,
154.500,
154.157,
153.780,
153.395,
152.935,
152.460,
151.937,
151.449,
150.893,
150.293,
149.733,
149.077,
148.380,
147.665,
146.897,
146.106,
145.283,
144.373,
143.545,
142.537,
141.447,
140.317,
139.107,
137.901,
136.661,
135.354,
134.020,
132.625,
131.133,
129.606,
128.021,
126.342,
124.615,
122.830,
121.061,
119.189,
117.361,
115.413,
113.462,
111.463,
109.430,
107.392,
105.306,
103.240,
101.206,
99.135,
97.099,
95.090,
93.052,
91.059,
89.063,
87.091,
85.207,
83.302,
81.413,
79.520,
77.695,
75.911,
74.186,
72.451,
70.784,
69.233,
67.416,
65.926,
64.353,
62.763,
61.193,
59.620,
58.051,
56.485,
54.918,
53.400,
51.931,
50.518,
49.079,
47.703,
46.298,
44.746,
43.345,
41.794,
40.467,
39.184,
37.940,
36.786,
35.841,
34.760,
33.772,
32.827,
32.097,
31.493,
31.005,
30.648,
30.437,
30.323,
30.336,
