P1_lam,P1_ram,P2_lam,P2_ram,P3_lam,P3_ram,P4_lam,P4_ram,P5_lam,P5_ram,P6_lam,P6_ram,P7_lam,P7_ram
153731,161865,147265,168580,142598,148013,142610,156526,157640,150492,152384,163424,150803,157836
153763,161861,147083,168624,142583,148043,142464,156518,157638,150504,152381,163271,150889,157827
153771,161870,147096,168633,142177,148055,142610,156522,157816,150329,152385,163409,150887,158176
153885,160771,147089,168655,142156,147912,142466,156502,158095,150296,152415,163243,150809,157926
153896,160772,147121,168652,142147,147941,142467,156511,158286,150227,152425,163323,150810,157919
153896,160757,147169,168661,142147,147982,142464,156503,158507,150220,152431,163332,150819,157917
153900,160765,147355,168709,142310,148012,142743,156560,158782,150273,152729,163403,150988,158086
153877,160658,147236,168818,142348,148029,142803,156493,159169,150080,152556,163338,150748,157807
153907,160622,147302,168691,142226,148042,142617,156515,159284,150322,152571,163328,150829,157915
153909,160611,147365,168702,142208,148055,142615,156517,159450,150398,152584,163317,150817,157920
153909,160684,147436,168717,142206,148058,142610,156520,159646,150499,152588,163323,150824,157918
153894,160692,147503,168727,142211,148008,142597,156502,159816,150620,152577,163332,150820,157908
153883,160719,147547,168742,142205,147973,142589,156509,159951,150746,152577,163344,150834,157909
153875,160734,147591,168756,142217,147962,142585,156515,159870,150886,152569,163344,150851,157909
153867,160742,147626,168772,142224,147938,142586,156510,160052,151028,152567,163347,150868,157903
153858,160727,147644,168780,142233,147869,142601,156512,160240,151119,152558,163311,150884,157898
153840,160718,147671,168794,142224,147853,142598,156525,160429,151277,152549,163354,150892,157910
153827,160842,147671,168838,142244,147823,142591,156534,160580,151374,152547,163390,150896,157914
153819,160850,147678,168861,142234,147810,142605,156549,160723,151475,152507,163447,150897,157913
153816,160846,147671,168905,142230,147740,142594,156550,160829,151555,152500,163472,150893,157914
153810,160860,147654,168960,142257,147686,142681,156555,160895,151627,152490,163502,150890,157916
153822,160850,147626,169022,142296,147700,142609,156552,160948,151736,152495,163538,150889,157909
153828,160854,147608,169115,142299,147641,142609,156529,161029,151828,152494,163582,150896,157895
153844,160870,147603,169189,142325,147569,142613,156520,161123,151942,152490,163621,150907,157899
153861,160870,147582,169261,142328,147530,142618,156500,161223,152022,152473,163647,150901,157887
153879,160884,147578,169318,142367,147496,142613,156493,161297,152106,152470,163654,150912,157892
153882,160886,147557,169407,142394,147429,142608,156471,161357,152206,152514,163640,150922,157896
153899,160872,147538,169496,142440,147321,142611,156488,161420,152311,152505,163636,150932,157909
153903,160883,147518,169616,142502,147277,142604,156491,161660,152422,152497,163603,150944,157929
153919,160913,147502,169745,142526,147238,142600,156516,161769,152471,152501,163574,150957,157927
153915,160910,147500,169894,142538,147178,142599,156533,161865,152524,152494,163575,150976,157922
153911,160924,147512,170017,142576,147118,142593,156535,161935,152559,152495,163587,150992,157920
153908,160935,147537,170098,142611,147038,142591,156539,161971,152606,152481,163610,151021,157907
153917,160942,147581,170202,142648,147013,142595,156544,162004,152644,152481,163640,151033,157913
153898,160933,147604,170297,142661,146965,142593,156541,162038,152664,152481,163641,151051,157911
153897,160936,147610,170386,142679,146919,142597,156536,162073,152661,152474,163668,151074,157916
153882,160815,147612,170447,142710,146827,142595,156522,162077,152699,152471,163648,151089,157926
153897,160803,147627,170500,142717,146769,142600,156525,162125,152738,152488,163640,151101,157934
